Код сотрудника,Не важные миссии,Полезные миссии,Очень полезные миссии,Выполнил Креативный класс,Выполнил HiPo,Выполнил HiPro,Выполнил Звезда департамента,Факт. департамент,Факт. подразделение,Факт. группа,Факт. должность,Является РМ/ТЛ,Стаж фактический по компании,Пол,Возраст,Эффективность,Всего миссий,Среднее миссий на сотрудника,Продуктивность сотрудника
SU198812,0,3,1,False,False,False,False,Департамент маркетинга,группа внешних коммуникаций,Не указано,Младший менеджер,True,"0 г., 5 мес.,12 дн.",Женский,25.0,False,4,20.005903574942604,0.2
SU198816,7,9,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа поддержки продаж решений по информационной безопасности,Стажер,True,"0 г., 5 мес.,9 дн.",Женский,22.0,False,16,20.005903574942604,0.45
SU198817,1,11,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа поддержки продаж решений по информационной безопасности,Стажер,True,"0 г., 5 мес.,9 дн.",Мужской,20.0,True,12,20.005903574942604,0.55
SU198818,10,7,0,False,False,False,False,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа тестировщиков,Стажер,True,"0 г., 6 мес.,3 дн.",Мужской,20.0,False,17,20.005903574942604,0.35
SU198820,0,20,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа инженеров технической поддержки,Младший инженер технической поддержки,True,"0 г., 6 мес.,3 дн.",Мужской,21.0,True,20,20.005903574942604,1.0
SU198821,4,11,1,False,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа администраторов проектов по ИТ-системам и программным решениям,Младший администратор проектов,True,"0 г., 6 мес.,3 дн.",Женский,22.0,True,16,20.005903574942604,0.6
SU198824,4,3,0,False,False,False,False,Административно-эксплуатационный департамент,Административный отдел,секретариат,Секретарь-референт,True,"0 г., 6 мес.,3 дн.",Женский,23.0,False,7,20.005903574942604,0.15
SU198825,22,13,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа обеспечения сервисных контрактов,Не указано,Младший инженер,True,"0 г., 5 мес.,19 дн.",Мужской,28.0,True,35,20.005903574942604,0.65
SU198826,3,16,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа разработки облака,Младший инженер-разработчик,True,"0 г., 6 мес.,3 дн.",Мужской,22.0,True,19,20.005903574942604,0.8
SU198829,1,3,0,False,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа продаж,Директор по работе с корпоративными клиентами,True,"0 г., 5 мес.,5 дн.",Мужской,34.0,False,4,20.005903574942604,0.15
SU198842,48,4,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа развития направления “Управление ИТ-процессами”,Не указано,Менеджер по продвижению решений,True,"0 г., 5 мес.,28 дн.",Мужской,43.0,False,52,20.005903574942604,0.2
SU198847,2,13,0,False,False,False,False,Департамент внутренней автоматизации,Не указано,центральная служба технической поддержки,Стажер,True,"0 г., 5 мес.,23 дн.",Мужской,23.0,True,15,20.005903574942604,0.65
SU198849,4,9,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа инженеров технической поддержки,Сервис-менеджер,True,"0 г., 5 мес.,12 дн.",Мужской,23.0,False,13,20.005903574942604,0.45
SU198850,0,1,0,False,False,False,False,Департамент маркетинга,группа маркетологов,Не указано,Менеджер по маркетингу,True,"0 г., 5 мес.,12 дн.",Женский,27.0,False,1,20.005903574942604,0.05
SU198852,20,4,0,False,False,False,False,Административно-эксплуатационный департамент,Отдел по эксплуатации инженерных систем,Не указано,Инженер,True,"0 г., 5 мес.,17 дн.",Мужской,27.0,False,24,20.005903574942604,0.2
SU198853,0,14,0,False,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа управления проектами по техническому консалтингу,Старший менеджер проектов,True,"0 г., 5 мес.,11 дн.",Мужской,40.0,True,14,20.005903574942604,0.7
SU198854,11,4,0,False,False,False,False,Департамент бизнес-приложений,группа поддержки продаж,Не указано,Стажер,True,"0 г., 5 мес.,12 дн.",Мужской,20.0,False,15,20.005903574942604,0.2
SU198857,11,13,0,False,False,False,False,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа внедренцев,Консультант по внедрению,True,"0 г., 5 мес.,22 дн.",Мужской,27.0,True,24,20.005903574942604,0.65
SU198859,1,4,0,False,False,False,False,Департамент бизнес-приложений,группа поддержки продаж,Не указано,Стажер,True,"0 г., 5 мес.,12 дн.",Женский,23.0,False,5,20.005903574942604,0.2
SU198866,0,4,0,False,False,False,False,Департамент маркетинга,группа контента,Не указано,Контент-маркетолог,True,"0 г., 5 мес.,12 дн.",Женский,29.0,False,4,20.005903574942604,0.2
SU198868,4,17,0,False,False,False,False,Департамент телекоммуникаций,Сервис,Первая линия,Стажер,True,"0 г., 5 мес.,19 дн.",Женский,18.0,True,21,20.005903574942604,0.85
SU198869,1,13,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа развития бизнеса,Стажер,True,"0 г., 5 мес.,12 дн.",Женский,21.0,True,14,20.005903574942604,0.65
SU198870,1,5,0,False,False,False,False,Департамент телекоммуникаций,Не указано,группа сетевых решений,Стажер,True,"0 г., 5 мес.,11 дн.",Мужской,21.0,False,6,20.005903574942604,0.25
SU198871,2,11,0,False,False,False,False,Департамент телекоммуникаций,Не указано,группа сетевых решений,Младший инженер,True,"0 г., 5 мес.,11 дн.",Мужской,21.0,True,13,20.005903574942604,0.55
SU198874,3,12,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа инженеров по ИТ-инфраструктуре и мониторингу,Не указано,Стажер,True,"0 г., 5 мес.,11 дн.",Мужской,20.0,True,15,20.005903574942604,0.6
SU198878,2,2,0,False,False,False,False,Департамент бизнес-приложений,Не указано,группа консультантов по финансам,Стажер,True,"0 г., 5 мес.,23 дн.",Женский,21.0,False,4,20.005903574942604,0.1
SU198879,5,2,0,False,False,False,False,Отдел дизайна,Не указано,Не указано,Старший дизайнер,True,"0 г., 5 мес.,5 дн.",Женский,25.0,False,7,20.005903574942604,0.1
SU198880,1,15,0,False,False,False,False,Отдел дизайна,Не указано,Не указано,Младший дизайнер интерфейсов,True,"0 г., 5 мес.,11 дн.",Женский,33.0,True,16,20.005903574942604,0.75
SU198881,1,12,1,False,True,False,False,Департамент разработки программного обеспечения,Не указано,группа системных инженеров,Младший системный инженер,True,"0 г., 5 мес.,23 дн.",Мужской,21.0,True,14,20.005903574942604,0.65
SU198882,10,4,0,False,False,False,False,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа разработчиков,Стажер,True,"0 г., 5 мес.,19 дн.",Мужской,21.0,False,14,20.005903574942604,0.2
SU198889,5,10,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа инженеров технической поддержки,Младший инженер технической поддержки,True,"0 г., 5 мес.,11 дн.",Мужской,24.0,False,15,20.005903574942604,0.5
SU198891,3,21,1,False,False,False,False,Департамент маркетинга,группа контента,Не указано,Младший контент-маркетолог,True,"0 г., 5 мес.,12 дн.",Женский,22.0,True,25,20.005903574942604,1.1
SU198936,1,2,1,False,False,False,False,Департамент разработки программного обеспечения,"Практика ""Time and Material""",Не указано,Менеджер по продвижению решений,True,"0 г., 5 мес.,8 дн.",Женский,24.0,False,4,20.005903574942604,0.15
SU198937,1,17,0,False,False,False,False,Департамент внутренней автоматизации,Не указано,группа аналитиков,Системный аналитик,True,"0 г., 5 мес.,5 дн.",Женский,27.0,True,18,20.005903574942604,0.85
SU198939,0,5,0,False,False,False,False,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа тестировщиков,Стажер,True,"0 г., 5 мес.,11 дн.",Женский,20.0,False,5,20.005903574942604,0.25
SU198942,53,10,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа разработки,Старший системный инженер,True,"0 г., 4 мес.,28 дн.",Мужской,36.0,False,63,20.005903574942604,0.5
SU198947,1,4,0,False,False,False,False,Департамент маркетинга,группа маркетологов,Не указано,Младший менеджер по маркетингу,True,"0 г., 5 мес.,9 дн.",Женский,20.0,False,5,20.005903574942604,0.2
SU198949,2,8,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа развития бизнеса,Сервис-менеджер,True,"0 г., 5 мес.,5 дн.",Мужской,37.0,False,10,20.005903574942604,0.4
SU198957,0,13,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа инженеров по инфраструктурному ПО,Не указано,Системный инженер,True,"0 г., 4 мес.,22 дн.",Мужской,35.0,True,13,20.005903574942604,0.65
SU198961,26,1,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа сопровождения ИТ-инфраструктур,Младший инженер,True,"0 г., 5 мес.,10 дн.",Мужской,26.0,False,27,20.005903574942604,0.05
SU198966,1,3,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Информационная безопасность,Центр мониторинга безопасности,Стажер,True,"0 г., 5 мес.,3 дн.",Мужской,21.0,False,4,20.005903574942604,0.15
SU198967,0,3,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа аналитиков по информационной безопасности,Стажер,True,"0 г., 5 мес.,5 дн.",Мужской,21.0,False,3,20.005903574942604,0.15
SU198969,4,5,2,False,True,False,False,Департамент маркетинга,группа маркетологов,Не указано,Менеджер по маркетингу,True,"0 г., 4 мес.,28 дн.",Мужской,29.0,False,11,20.005903574942604,0.36
SU198971,22,3,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа поддержки продаж решений по вычислительной инфраструктуре,Не указано,Младший технический писатель,True,"0 г., 5 мес.,5 дн.",Женский,21.0,False,25,20.005903574942604,0.15
SU198972,0,3,0,False,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа отраслевых решений,Консультант по внедрению бизнес-приложений,True,"0 г., 5 мес.,5 дн.",Мужской,23.0,False,3,20.005903574942604,0.15
SU198976,1,9,0,False,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа управления проектами по вычислительной инфраструктуре ЦОД,Менеджер проектов,True,"0 г., 4 мес.,28 дн.",Женский,37.0,False,10,20.005903574942604,0.45
SU198981,13,11,0,False,False,False,False,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа разработчиков,Стажер,True,"0 г., 5 мес.,5 дн.",Мужской,20.0,True,24,20.005903574942604,0.55
SU198982,1,3,0,False,False,False,False,Департамент маркетинга,группа внешних коммуникаций,Не указано,Менеджер по внешним коммуникациям,True,"0 г., 4 мес.,22 дн.",Женский,34.0,False,4,20.005903574942604,0.15
SU198985,0,5,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа инженеров технической поддержки,Не указано,Эксперт,True,"0 г., 5 мес.,4 дн.",Мужской,42.0,False,5,20.005903574942604,0.25
SU198987,5,14,0,False,False,False,False,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа тестировщиков,Стажер,True,"0 г., 3 мес.,21 дн.",Мужской,23.0,True,19,20.005903574942604,0.7
SU198994,35,13,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки и эксплуатации систем в ЦОД,Стажер,True,"0 г., 5 мес.,3 дн.",Мужской,21.0,True,48,20.005903574942604,0.65
SU198998,4,5,0,False,False,False,False,Служба сопровождения проектной документации,Не указано,Не указано,Технический писатель,True,"0 г., 4 мес.,22 дн.",Женский,36.0,False,9,20.005903574942604,0.25
SU198999,0,9,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа инженеров технической поддержки,Инженер технической поддержки,True,"0 г., 4 мес.,28 дн.",Мужской,36.0,False,9,20.005903574942604,0.45
SU199000,1,5,0,False,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа управления проектами по техническому консалтингу,Менеджер проектов,True,"0 г., 4 мес.,15 дн.",Мужской,32.0,False,6,20.005903574942604,0.25
SU199001,0,11,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа продвижения решений,Специалист по продвижению решений,True,"0 г., 4 мес.,22 дн.",Женский,28.0,True,11,20.005903574942604,0.55
SU199002,3,3,0,False,False,False,False,Департамент продаж и менеджмента проектов,Отдел расчётов с клиентами,Не указано,Специалист по ведению документооборота,True,"0 г., 5 мес.,4 дн.",Женский,21.0,False,6,20.005903574942604,0.15
SU199009,5,14,1,False,False,False,False,Департамент инфраструктурных решений и сервисов,Не указано,группа инженеров поддержки инфраструктурного ПО,Стажер,True,"0 г., 5 мес.,3 дн.",Мужской,22.0,True,20,20.005903574942604,0.75
SU199010,0,10,0,False,False,False,False,Департамент внутренней автоматизации,Не указано,группа разработки 1С,Младший инженер-разработчик,True,"0 г., 4 мес.,25 дн.",Мужской,33.0,False,10,20.005903574942604,0.5
SU199017,28,11,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа инженеров разработки облака,Инженер,True,"0 г., 4 мес.,22 дн.",Мужской,28.0,True,39,20.005903574942604,0.55
SU199028,2,6,0,False,False,False,False,Департамент бизнес-приложений,Не указано,группа консультантов по финансам,Стажер,True,"0 г., 4 мес.,25 дн.",Мужской,20.0,False,8,20.005903574942604,0.3
SU199029,2,7,0,False,False,False,False,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа разработчиков,Стажер,True,"0 г., 5 мес.,2 дн.",Мужской,21.0,False,9,20.005903574942604,0.35
SU199030,1,5,0,False,False,False,False,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа разработчиков,Стажер,True,"0 г., 4 мес.,27 дн.",Женский,21.0,False,6,20.005903574942604,0.25
SU199032,0,14,0,False,False,False,False,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа внедренцев,Стажер,True,"0 г., 5 мес.,2 дн.",Женский,22.0,True,14,20.005903574942604,0.7
SU199033,1,2,0,False,False,False,False,Департамент маркетинга,группа контента,Не указано,Стажер,True,"0 г., 4 мес.,28 дн.",Женский,23.0,False,3,20.005903574942604,0.1
SU199036,1,16,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа инженеров разработки облака,Старший инженер,True,"0 г., 4 мес.,20 дн.",Мужской,37.0,True,17,20.005903574942604,0.8
SU199040,0,11,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа разработки СУБД,Старший системный инженер,True,"0 г., 4 мес.,28 дн.",Мужской,41.0,True,11,20.005903574942604,0.55
SU199045,3,8,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа аналитиков по информационной безопасности,Стажер,True,"0 г., 4 мес.,15 дн.",Женский,20.0,False,11,20.005903574942604,0.4
SU199048,59,11,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа инженеров по ИТ-инфраструктуре и мониторингу,Не указано,Стажер,True,"0 г., 4 мес.,26 дн.",Мужской,21.0,True,70,20.005903574942604,0.55
SU199051,0,3,0,False,False,False,False,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа разработчиков,Стажер,True,"0 г., 4 мес.,26 дн.",Женский,21.0,False,3,20.005903574942604,0.15
SU199053,5,6,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа инженеров технической поддержки,Не указано,Инженер технической поддержки,True,"0 г., 4 мес.,15 дн.",Мужской,34.0,False,11,20.005903574942604,0.3
SU199055,3,3,0,False,False,False,False,Административно-эксплуатационный департамент,"Служба охраны труда, пожарной безопасности и гражданской обороны",Не указано,Стажер,True,"0 г., 4 мес.,11 дн.",Мужской,23.0,False,6,20.005903574942604,0.15
SU199056,2,9,0,False,False,False,False,Департамент инженерных и мультимедийных систем,Группа электроснабжения и климатических систем,Не указано,Младший инженер,True,"0 г., 4 мес.,15 дн.",Мужской,25.0,False,11,20.005903574942604,0.45
SU199058,1,0,1,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа инженеров по вычислительной инфраструктуре,Не указано,Стажер,True,"0 г., 4 мес.,27 дн.",Мужской,20.0,False,2,20.005903574942604,0.05
SU199061,1,11,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа технических менеджеров по вычислительной инфраструктуре,Не указано,Аналитик,True,"0 г., 4 мес.,20 дн.",Мужской,24.0,True,12,20.005903574942604,0.55
SU199067,31,7,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа инженеров по ИТ-инфраструктуре и мониторингу,Не указано,Младший системный инженер,True,"0 г., 3 мес.,1 дн.",Мужской,21.0,False,38,20.005903574942604,0.35
SU199068,0,10,0,False,False,False,False,Департамент бизнес-приложений,Не указано,Группа аналитиков и консультантов по внедрению Big Data и BI,Стажер,True,"0 г., 4 мес.,25 дн.",Женский,21.0,False,10,20.005903574942604,0.5
SU199070,3,12,0,False,False,False,False,Департамент бизнес-приложений,Не указано,Группа аналитиков и консультантов по внедрению Big Data и BI,Стажер,True,"0 г., 4 мес.,25 дн.",Женский,20.0,True,15,20.005903574942604,0.6
SU199071,0,3,0,False,False,False,False,Департамент бизнес-приложений,Не указано,группа консультантов по хранилищам данных и ETL,Стажер,True,"0 г., 4 мес.,22 дн.",Женский,22.0,False,3,20.005903574942604,0.15
SU199072,2,3,0,False,False,False,False,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа аналитиков,Стажер,True,"0 г., 4 мес.,22 дн.",Мужской,20.0,False,5,20.005903574942604,0.15
SU199073,25,9,0,False,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа управления проектами по вычислительной инфраструктуре ЦОД,Младший менеджер проектов,True,"0 г., 4 мес.,22 дн.",Женский,24.0,False,34,20.005903574942604,0.45
SU199074,13,11,0,False,False,False,False,Департамент разработки программного обеспечения,"Практика ""Time and Material""",группа аналитиков,Ведущий аналитик,True,"0 г., 4 мес.,22 дн.",Мужской,27.0,True,24,20.005903574942604,0.55
SU199079,69,11,1,False,True,False,False,Департамент инфраструктурных решений и сервисов,группа поддержки продаж решений по программной инфраструктуре,Не указано,Специалист по продвижению решений,True,"0 г., 4 мес.,22 дн.",Женский,25.0,True,81,20.005903574942604,0.6
SU199080,1,0,0,False,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа продаж,Директор по работе с корпоративными клиентами,True,"0 г., 1 мес.,23 дн.",Мужской,45.0,False,1,20.005903574942604,0.0
SU199086,0,6,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа продвижения решений,Младший пресейл-инженер,True,"0 г., 4 мес.,22 дн.",Мужской,19.0,False,6,20.005903574942604,0.3
SU199088,3,0,0,False,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа продаж,Директор по работе с корпоративными клиентами,True,"0 г., 3 мес.,1 дн.",Мужской,36.0,False,3,20.005903574942604,0.0
SU199092,34,12,0,False,False,False,False,Служба сопровождения проектной документации,Не указано,Не указано,Технический писатель,True,"0 г., 4 мес.,22 дн.",Женский,26.0,True,46,20.005903574942604,0.6
SU199093,1,2,0,False,False,False,False,Финансовый департамент,Не указано,отдел по расчету с персоналом,Бухгалтер,True,"0 г., 4 мес.,20 дн.",Женский,26.0,False,3,20.005903574942604,0.1
SU199094,1,5,0,False,False,False,False,Административно-эксплуатационный департамент,Отдел по эксплуатации инженерных систем,Не указано,Администратор,True,"0 г., 3 мес.,1 дн.",Мужской,30.0,False,6,20.005903574942604,0.25
SU199096,1,2,0,False,False,False,False,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа разработчиков,Стажер,True,"0 г., 4 мес.,21 дн.",Женский,20.0,False,3,20.005903574942604,0.1
SU199097,1,3,0,False,False,False,False,Департамент телекоммуникаций,Сервис,Первая линия,Стажер,True,"0 г., 4 мес.,15 дн.",Мужской,19.0,False,4,20.005903574942604,0.15
SU199098,1,9,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа поддержки продаж решений по программной инфраструктуре,Не указано,Специалист по продвижению решений,True,"0 г., 4 мес.,12 дн.",Женский,26.0,False,10,20.005903574942604,0.45
SU199099,0,12,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа продвижения решений,Менеджер по продвижению решений,True,"0 г., 4 мес.,22 дн.",Мужской,60.0,True,12,20.005903574942604,0.6
SU199100,57,1,0,False,False,False,False,Административно-эксплуатационный департамент,Административный отдел,Не указано,Офис-менеджер,True,"0 г., 4 мес.,21 дн.",Мужской,26.0,False,58,20.005903574942604,0.05
SU199102,7,6,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа менеджеров по работе с партнерами,Не указано,Специалист по работе с партнерами,True,"0 г., 3 мес.,23 дн.",Женский,25.0,False,13,20.005903574942604,0.3
SU199106,0,10,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки и эксплуатации систем в ЦОД,Младший дежурный инженер ЦОД,True,"0 г., 4 мес.,21 дн.",Мужской,21.0,False,10,20.005903574942604,0.5
SU199116,1,10,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа инженеров по инфраструктурному ПО,Не указано,Системный инженер,True,"0 г., 3 мес.,30 дн.",Мужской,23.0,False,11,20.005903574942604,0.5
SU199121,0,2,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа инженеров технической поддержки,Не указано,Инженер технической поддержки,True,"0 г., 4 мес.,15 дн.",Мужской,33.0,False,2,20.005903574942604,0.1
SU199122,0,4,0,False,False,False,False,Департамент бизнес-приложений,Не указано,Группа аналитиков по автоматизации бизнес-процессов,Стажер,True,"0 г., 4 мес.,12 дн.",Женский,23.0,False,4,20.005903574942604,0.2
SU199123,7,3,0,False,False,False,False,Департамент по работе с персоналом,отдел кадров,Не указано,Стажер,True,"0 г., 4 мес.,8 дн.",Женский,22.0,False,10,20.005903574942604,0.15
SU199127,0,4,0,False,False,False,False,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа аналитиков и внедренцев,Стажер,True,"0 г., 4 мес.,15 дн.",Женский,20.0,False,4,20.005903574942604,0.2
SU199128,3,10,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа инженеров разработки облака,Младший инженер,True,"0 г., 4 мес.,12 дн.",Мужской,20.0,False,13,20.005903574942604,0.5
SU199132,4,3,0,False,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа продаж,Директор по работе с корпоративными клиентами,True,"0 г., 3 мес.,30 дн.",Мужской,32.0,False,7,20.005903574942604,0.15
SU199133,1,10,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки и эксплуатации систем в ЦОД,Младший дежурный инженер ЦОД,True,"0 г., 4 мес.,15 дн.",Мужской,19.0,False,11,20.005903574942604,0.5
SU199137,2,4,0,False,False,False,False,Департамент инженерных и мультимедийных систем,Группа СКС и Автоматизации инженерных систем,Не указано,Стажер,True,"0 г., 4 мес.,15 дн.",Женский,23.0,False,6,20.005903574942604,0.2
SU199138,1,6,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа продвижения решений,Менеджер по работе с партнерами,True,"0 г., 4 мес.,8 дн.",Женский,36.0,False,7,20.005903574942604,0.3
SU199140,3,8,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа инженеров по вычислительной инфраструктуре,Не указано,Стажер,True,"0 г., 4 мес.,15 дн.",Мужской,20.0,False,11,20.005903574942604,0.4
SU199144,15,2,0,False,False,False,False,Департамент по работе с персоналом,Не указано,отдел обучения,Стажер,True,"0 г., 4 мес.,8 дн.",Женский,22.0,False,17,20.005903574942604,0.1
SU199145,39,13,0,False,False,False,False,Департамент разработки программного обеспечения,"Практика ""Аппаратные решения""",Не указано,Стажер,True,"0 г., 4 мес.,14 дн.",Мужской,20.0,True,52,20.005903574942604,0.65
SU199146,0,4,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа инженеров по инфраструктурному ПО,Не указано,Эксперт,True,"0 г., 3 мес.,24 дн.",Мужской,40.0,False,4,20.005903574942604,0.2
SU199148,19,5,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа инженеров по вычислительной инфраструктуре,Не указано,Стажер,True,"0 г., 4 мес.,12 дн.",Мужской,20.0,False,24,20.005903574942604,0.25
SU199149,8,7,0,False,False,False,False,Департамент внутренней автоматизации,Не указано,группа разработки инфраструктурных приложений,Инженер-разработчик,True,"0 г., 3 мес.,1 дн.",Мужской,27.0,False,15,20.005903574942604,0.35
SU199150,4,9,0,False,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа управления проектами развития бизнес-процессов,Младший менеджер проектов,True,"0 г., 3 мес.,30 дн.",Мужской,27.0,False,13,20.005903574942604,0.45
SU199151,32,8,0,False,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа управления проектами развития бизнес-процессов,Менеджер проектов,True,"0 г., 3 мес.,1 дн.",Женский,34.0,False,40,20.005903574942604,0.4
SU199158,0,10,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки и эксплуатации систем в ЦОД,Стажер,True,"0 г., 4 мес.,8 дн.",Мужской,23.0,False,10,20.005903574942604,0.5
SU199160,0,2,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Не указано,группа UNIX и Open Source,Старший инженер,True,"0 г., 3 мес.,27 дн.",Мужской,44.0,False,2,20.005903574942604,0.1
SU199162,0,1,1,False,False,False,False,Департамент маркетинга,группа внешних коммуникаций,Не указано,Менеджер по внешним коммуникациям,True,"0 г., 4 мес.,6 дн.",Женский,24.0,False,2,20.005903574942604,0.1
SU199163,0,7,0,False,False,False,False,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа внедренцев,Младший консультант по внедрению,True,"0 г., 4 мес.,6 дн.",Мужской,29.0,False,7,20.005903574942604,0.35
SU199164,1,4,0,False,False,False,False,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа разработчиков,Стажер,True,"0 г., 4 мес.,7 дн.",Мужской,20.0,False,5,20.005903574942604,0.2
SU199166,0,2,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа продуктовых интеграций,Менеджер по работе с партнерами,True,"0 г., 3 мес.,24 дн.",Женский,24.0,False,2,20.005903574942604,0.1
SU199167,5,9,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа технических менеджеров по информационной безопасности,Технический менеджер,True,"0 г., 4 мес.,6 дн.",Мужской,38.0,False,14,20.005903574942604,0.45
SU199170,4,7,0,False,False,False,False,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа тестировщиков,Стажер,True,"0 г., 4 мес.,8 дн.",Мужской,22.0,False,11,20.005903574942604,0.35
SU199173,0,5,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа разработки,Ведущий инженер-разработчик,True,"0 г., 4 мес.,7 дн.",Мужской,37.0,False,5,20.005903574942604,0.25
SU199176,1,13,0,False,False,False,False,Департамент бизнес-приложений,группа технических менеджеров по 1С,Не указано,Технический менеджер,True,"0 г., 3 мес.,24 дн.",Женский,43.0,True,14,20.005903574942604,0.65
SU199177,23,2,0,False,False,False,False,Департамент по работе с персоналом,Не указано,Развитие бренда работодателя,Стажер,True,"0 г., 3 мес.,1 дн.",Женский,21.0,False,25,20.005903574942604,0.1
SU199185,19,3,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа развития бизнеса,Не указано,Стажер,True,"0 г., 3 мес.,16 дн.",Женский,22.0,False,22,20.005903574942604,0.15
SU199186,1,6,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа продвижения решений,Стажер,True,"0 г., 4 мес.,6 дн.",Женский,20.0,False,7,20.005903574942604,0.3
