Внешний код,Факт. департамент,Факт. подразделение,Факт. группа,Факт. должность,Является РМ/ТЛ,Стаж фактический по компании,Пол,Возраст
SU198380,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа поддержки продаж решений по информационной безопасности,Младший специалист по продвижению решений,нет,"0 г., 7 мес.,21 дн.",Женский,22
SU198203,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа эксплуатации облачных сервисов,Младший дежурный инженер,нет,"0 г., 8 мес.,13 дн.",Мужской,26
SU50929,Департамент инженерных и мультимедийных систем,группа инженеров по мультимедийным системам,,Эксперт,нет,"12 г., 6 мес.,28 дн.",Мужской,35
SU176523,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа разработчиков,"Ведущий инженер-разработчик, Тимлид",ТЛ,"2 г., 11 мес.,9 дн.",Мужской,34
SU470,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа аналитиков по информационной безопасности,Старший системный аналитик,нет,"16 г., 8 мес.,21 дн.",Женский,41
SU199666,Департамент продаж и менеджмента проектов,,группа отраслевых решений,Менеджер по продвижению решений,нет,"0 г., 1 мес.,22 дн.",Мужской,34
SU49182,Департамент инфраструктурных решений и сервисов,группа инженеров по вычислительной инфраструктуре,,Старший инженер,нет,"12 г., 8 мес.,19 дн.",Мужской,32
SU199202,Департамент инфраструктурных решений и сервисов,группа администраторов сервисных проектов,,Администратор проектов,нет,"0 г., 3 мес.,1 дн.",Женский,24
SU184805,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа внедрения и эксплуатации облачных ИТ-инфраструктур,"Старший инженер, Тимлид",РМ,"2 г., 7 мес.,4 дн.",Мужской,26
SU59740,Административно-эксплуатационный департамент,Административный отдел,секретариат,Секретарь-референт,нет,"12 г., 0 мес.,15 дн.",Женский,33
SU47551,Департамент внутренней автоматизации,,группа разработки инфраструктурных приложений,Эксперт,нет,"12 г., 11 мес.,1 дн.",Мужской,38
SU199492,Департамент бизнес-приложений,группа технических менеджеров по 1С,,Сервис-менеджер,нет,"0 г., 2 мес.,26 дн.",Мужской,36
SU197168,Департамент инфраструктурных решений и сервисов,группа инженеров по инфраструктурному ПО,,Младший системный инженер,нет,"1 г., 1 мес.,27 дн.",Мужской,21
SU196609,Административно-эксплуатационный департамент,"Служба охраны труда, пожарной безопасности и гражданской обороны",,Младший специалист по охране труда,нет,"1 г., 5 мес.,30 дн.",Женский,23
SU3863,Административно-эксплуатационный департамент,Отдел по эксплуатации инженерных систем,уборщицы,Уборщица,нет,"14 г., 2 мес.,1 дн.",Женский,56
SU122318,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа разработчиков,Инженер-разработчик,нет,"5 г., 2 мес.,12 дн.",Мужской,27
SU1827,Департамент инженерных и мультимедийных систем,,,Руководитель направления электромеханических систем,нет,"16 г., 0 мес.,12 дн.",Мужской,40
SU190628,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа внедрения и эксплуатации облачных ИТ-инфраструктур,Старший инженер,нет,"2 г., 1 мес.,6 дн.",Мужской,28
SU50141,Департамент по работе с персоналом,,отдел обучения,Ведущий менеджер по корпоративному обучению,нет,"12 г., 7 мес.,19 дн.",Женский,37
SU192423,Департамент инфраструктурных решений и сервисов,группа разработки частных облаков,,Старший системный аналитик,нет,"1 г., 8 мес.,16 дн.",Мужской,29
SU199968,Департамент инфраструктурных решений и сервисов,,группа развития и сопровождения частных облаков,Стажер,нет,"0 г., 0 мес.,1 дн.",Женский,20
SU2505,Административно-эксплуатационный департамент,Отдел по эксплуатации инженерных систем,,Техник,нет,"18 г., 10 мес.,24 дн.",Мужской,63
SU198509,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа внедрения и эксплуатации облачных ИТ-инфраструктур,Младший инженер,нет,"0 г., 7 мес.,5 дн.",Мужской,38
SU3653,Департамент избирательных технологий,,,,нет,"19 г., 9 мес.,25 дн.",Мужской,61
SU3164,Служба охраны,,Группа обеспечения контрольно-пропускного режима,Охранник,нет,"18 г., 0 мес.,23 дн.",Мужской,41
SU199876,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа разработчиков,Стажер,нет,"0 г., 0 мес.,31 дн.",Мужской,24
SU3154,Департамент продаж и менеджмента проектов,,группа менеджеров по работе с корпоративными клиентами,Руководитель группы,РМ,"16 г., 10 мес.,13 дн.",Мужской,37
SU173182,Административно-эксплуатационный департамент,Административный отдел,секретариат,Секретарь-референт,нет,"3 г., 1 мес.,12 дн.",Женский,23
SU199929,Департамент разработки программного обеспечения,"Практика ""Time and Material""",,Специалист,нет,"0 г., 0 мес.,11 дн.",Мужской,28
SU183632,Департамент продаж и менеджмента проектов,,группа управления проектами по инженерным и мультимедийным системам,Младший менеджер проектов,нет,"2 г., 8 мес.,24 дн.",Женский,29
SU505,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа тестировщиков,Старший инженер-тестировщик,нет,"16 г., 6 мес.,2 дн.",Женский,39
SU2507,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа технических менеджеров,Технический менеджер комплексных проектов,РМ,"20 г., 4 мес.,27 дн.",Мужской,42
SU198289,Департамент инфраструктурных решений и сервисов,группа инженеров по инфраструктурному ПО,,Системный инженер,нет,"0 г., 7 мес.,21 дн.",Мужской,36
SU106541,Отдел подготовки тендеров,,,Старший менеджер по работе с тендерами,нет,"5 г., 11 мес.,19 дн.",Женский,36
SU198067,Департамент инфраструктурных решений и сервисов,группа технических менеджеров по сопровождению программной инфраструктуры,,Технический менеджер,нет,"0 г., 9 мес.,10 дн.",Мужской,40
SU90010,Департамент разработки программного обеспечения,"Практика ""Аппаратные решения""",,Консультант по внедрению,нет,"7 г., 11 мес.,24 дн.",Женский,40
SU197942,Департамент инженерных и мультимедийных систем,группа сервиса,,Стажер,нет,"0 г., 10 мес.,20 дн.",Мужской,23
SU197364,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа разработчиков,Стажер,нет,"1 г., 1 мес.,27 дн.",Мужской,21
SU196444,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа разработчиков,Младший инженер-разработчик,нет,"1 г., 6 мес.,28 дн.",Мужской,22
SU45258,Департамент бизнес-приложений,группа поддержки продаж,,"Заместитель директора департамента по развитию бизнеса, И.о. руководителя направления Big Data",РМ,"13 г., 4 мес.,17 дн.",Женский,33
SU162832,Департамент продаж и менеджмента проектов,,группа управления проектами по вычислительной инфраструктуре ЦОД,Менеджер проектов,нет,"3 г., 5 мес.,13 дн.",Мужской,23
SU190316,Департамент бизнес-приложений,,группа консультантов по технической архитектуре и разработке,Старший консультант по внедрению бизнес-приложений,нет,"2 г., 1 мес.,26 дн.",Мужской,28
SU45493,Департамент продаж и менеджмента проектов,,группа управления проектами по телекоммуникациям,Менеджер проектов,нет,"13 г., 3 мес.,21 дн.",Мужской,36
SU161127,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа эксплуатации облачных сервисов,Инженер,нет,"3 г., 6 мес.,25 дн.",Мужской,22
SU168863,Департамент маркетинга,группа цифрового маркетинга,,Менеджер по цифровому маркетингу,нет,"3 г., 2 мес.,15 дн.",Мужской,22
SU197819,Департамент инженерных и мультимедийных систем,Группа электроснабжения и климатических систем,,Инженер,нет,"0 г., 11 мес.,11 дн.",Женский,28
SU180308,Департамент разработки программного обеспечения,Интеграционные решения,группа разработки,Системный аналитик,нет,"2 г., 10 мес.,5 дн.",Женский,32
SU116189,Департамент маркетинга,группа маркетологов,,Менеджер по маркетингу,нет,"5 г., 6 мес.,22 дн.",Женский,28
SU199670,Департамент бизнес-приложений,,группа консультантов по финансам,Стажер,нет,"0 г., 1 мес.,29 дн.",Мужской,23
SU198338,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа разработки,Ведущий инженер-разработчик,нет,"0 г., 8 мес.,6 дн.",Мужской,30
SU2513,Административно-эксплуатационный департамент,Отдел по эксплуатации инженерных систем,,Техник,нет,"16 г., 1 мес.,16 дн.",Мужской,61
SU476,Департамент внутренней автоматизации,,группа разработки бизнес-приложений,Ведущий инженер-тестировщик,нет,"18 г., 11 мес.,24 дн.",Женский,47
SU140638,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа развития бизнеса,Менеджер продукта,нет,"4 г., 7 мес.,20 дн.",Мужской,40
SU197817,Финансовый департамент,,группа финансовых партнеров,Финансовый партнёр,нет,"0 г., 11 мес.,12 дн.",Женский,32
SU198513,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа маркетинга,Менеджер по маркетингу,нет,"0 г., 6 мес.,22 дн.",Женский,29
SU104987,Департамент по работе с персоналом,отдел рекрутинга,,Ведущий HR-менеджер,нет,"6 г., 1 мес.,6 дн.",Женский,44
SU196383,Департамент инфраструктурных решений и сервисов,группа менеджеров по работе с партнерами,,Менеджер по работе с партнерами,нет,"1 г., 7 мес.,16 дн.",Женский,25
SU87398,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа разработчиков,Ведущий инженер-разработчик,РМ,"8 г., 4 мес.,3 дн.",Мужской,28
SU71145,Департамент инфраструктурных решений и сервисов,,группа UNIX и Open Source,Технический менеджер,нет,"10 г., 7 мес.,14 дн.",Мужской,33
SU3243,Департамент инфраструктурных решений и сервисов,группа управления сервисными проектами,,Менеджер по развитию службы сервиса,нет,"16 г., 11 мес.,25 дн.",Женский,39
SU196757,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа разработки СУБД,Ведущий системный инженер,нет,"0 г., 3 мес.,24 дн.",Мужской,36
SU43658,Департамент телекоммуникаций,Сервис,группа технической поддержки телефонии и Call-центров,Ведущий инженер,нет,"13 г., 7 мес.,9 дн.",Женский,35
SU163993,Служба охраны,,,Техник,нет,"3 г., 4 мес.,24 дн.",Мужской,68
SU199470,Департамент разработки программного обеспечения,"Практика ""Time and Material""",,Сервис-менеджер,нет,"0 г., 2 мес.,29 дн.",Женский,30
SU197643,Департамент разработки программного обеспечения,Продуктовый офис,,Специалист по продвижению решений,нет,"1 г., 0 мес.,22 дн.",Женский,28
SU40554,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа технических менеджеров,Технический менеджер,РМ,"11 г., 11 мес.,26 дн.",Мужской,35
SU176259,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа продвижения решений,Специалист по продвижению решений,нет,"2 г., 11 мес.,27 дн.",Женский,37
SU1829,Департамент инфраструктурных решений и сервисов,группа инженеров по ИТ-инфраструктуре и мониторингу,,Ведущий системный инженер,нет,"17 г., 4 мес.,27 дн.",Мужской,44
SU174127,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа внедренцев,Младший консультант по внедрению,нет,"3 г., 0 мес.,27 дн.",Женский,26
SU199686,Департамент маркетинга,группа маркетологов,,Младший менеджер по маркетингу,нет,"0 г., 1 мес.,14 дн.",Женский,21
SU198824,Административно-эксплуатационный департамент,Административный отдел,секретариат,Секретарь-референт,нет,"0 г., 6 мес.,3 дн.",Женский,23
SU199435,Департамент продаж и менеджмента проектов,,группа управления проектами по вычислительной инфраструктуре ЦОД,Младший менеджер проектов,нет,"0 г., 2 мес.,24 дн.",Мужской,24
SU41942,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа технических менеджеров,Технический менеджер,нет,"13 г., 10 мес.,19 дн.",Женский,40
SU199504,Департамент продаж и менеджмента проектов,,группа менеджеров по работе с корпоративными клиентами,Стажер,нет,"0 г., 2 мес.,6 дн.",Женский,21
SU166245,Правовой департамент,группа Корпоративного сопровождения,,Юрист,нет,"3 г., 3 мес.,11 дн.",Мужской,29
SU196341,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа разработки,Ведущий инженер-тестировщик,нет,"1 г., 7 мес.,12 дн.",Мужской,52
SU478,Финансовый департамент,,отдел учета товаров и взаиморасчетов с поставщиками,Бухгалтер,нет,"27 г., 5 мес.,24 дн.",Женский,55
SU601,Департамент продаж и менеджмента проектов,,группа управления проектами по телекоммуникациям,Руководитель группы,РМ,"18 г., 4 мес.,6 дн.",Женский,40
SU189474,Департамент продаж и менеджмента проектов,,группа продаж,Директор по работе с корпоративными клиентами,нет,"2 г., 2 мес.,22 дн.",Мужской,37
SU154810,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа развития бизнеса,Сервис-менеджер,нет,"3 г., 10 мес.,11 дн.",Мужской,37
SU198797,Департамент инфраструктурных решений и сервисов,,группа инженеров поддержки инфраструктурного ПО,Стажер,нет,"0 г., 6 мес.,6 дн.",Мужской,20
SU189971,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров по сетевой безопасности,Системный инженер,нет,"2 г., 1 мес.,26 дн.",Мужской,22
SU38723,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа разработки облака,Менеджер продукта,нет,"14 г., 6 мес.,4 дн.",Мужской,36
SU197598,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа маркетинга,Младший менеджер по маркетингу,нет,"1 г., 0 мес.,20 дн.",Женский,21
SU199777,Департамент инфраструктурных решений и сервисов,группа администраторов сервисных проектов,,Младший администратор проектов,нет,"0 г., 1 мес.,13 дн.",Женский,20
SU199502,Департамент инфраструктурных решений и сервисов,группа администраторов сервисных проектов,,Стажер,нет,"0 г., 2 мес.,20 дн.",Женский,21
SU40848,Департамент инфраструктурных решений и сервисов,группа технических менеджеров по программной инфраструктуре,,Старший технический менеджер,нет,"14 г., 1 мес.,12 дн.",Мужской,37
SU61386,Административно-эксплуатационный департамент,Административный отдел,,Администратор,нет,"11 г., 11 мес.,6 дн.",Мужской,32
SU73979,Отдел подготовки тендеров,,,Ведущий менеджер по работе с тендерами,нет,"10 г., 2 мес.,6 дн.",Женский,32
SU196224,Департамент инженерных и мультимедийных систем,технические менеджеры по инженерным системам,,Технический менеджер,нет,"1 г., 7 мес.,24 дн.",Мужской,35
SU164035,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа тестировщиков,Инженер-тестировщик,нет,"3 г., 4 мес.,15 дн.",Мужской,26
SU199716,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров по сетевой безопасности,Стажер,нет,"0 г., 1 мес.,20 дн.",Женский,21
SU79035,Департамент бизнес-приложений,группа технических менеджеров по 1С,,Технический менеджер,нет,"9 г., 6 мес.,19 дн.",Мужской,35
SU197515,Департамент инфраструктурных решений и сервисов,группа обеспечения сервисных контрактов,,Младший инженер,нет,"1 г., 1 мес.,13 дн.",Мужской,24
SU133984,Департамент телекоммуникаций,,Группа поддержки продаж сетевых решений,Пресейл-инженер,нет,"4 г., 11 мес.,25 дн.",Мужской,37
SU197824,Департамент инфраструктурных решений и сервисов,группа управления сервисными проектами,,Технический менеджер сервисных проектов,нет,"0 г., 11 мес.,18 дн.",Женский,28
SU199373,Департамент по работе с персоналом,,Внутренние коммуникации,Младший менеджер по внутренним коммуникациям,нет,"0 г., 3 мес.,10 дн.",Женский,20
SU197051,Департамент по работе с персоналом,отдел рекрутинга,,Младший HR-менеджер,нет,"1 г., 1 мес.,27 дн.",Женский,21
SU80745,Департамент продаж и менеджмента проектов,,группа управления проектами по программному консалтингу,Старший менеджер проектов,нет,"9 г., 3 мес.,11 дн.",Мужской,36
SU82701,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа внедренцев,Менеджер по внедрению,нет,"9 г., 1 мес.,4 дн.",Мужской,32
SU198972,Департамент продаж и менеджмента проектов,,группа отраслевых решений,Консультант по внедрению бизнес-приложений,нет,"0 г., 5 мес.,5 дн.",Мужской,23
SU135732,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа продвижения решений,Менеджер по продажам решений,нет,"4 г., 10 мес.,23 дн.",Женский,28
SU197710,Департамент продаж и менеджмента проектов,,группа сметчиков,Ведущий инженер-сметчик,нет,"0 г., 11 мес.,24 дн.",Женский,33
SU132315,Департамент инфраструктурных решений и сервисов,группа инженеров технической поддержки,,Руководитель группы,РМ,"4 г., 11 мес.,24 дн.",Мужской,41
SU197144,Департамент инженерных и мультимедийных систем,Группа электроснабжения и климатических систем,,Инженер,нет,"1 г., 2 мес.,18 дн.",Мужской,32
SU113589,Склад,,,Кладовщик,нет,"4 г., 8 мес.,3 дн.",Мужской,37
SU197706,Департамент инженерных и мультимедийных систем,группа инженеров по мультимедийным системам,,Инженер,нет,"1 г., 0 мес.,2 дн.",Мужской,35
SU177414,Департамент инженерных и мультимедийных систем,Группа поддержки производства,,Эксперт,нет,"2 г., 11 мес.,8 дн.",Мужской,32
SU92560,Департамент инфраструктурных решений и сервисов,группа технических менеджеров по вычислительной инфраструктуре,,Технический менеджер,нет,"7 г., 5 мес.,10 дн.",Мужской,28
SU196232,Департамент инженерных и мультимедийных систем,Группа электроснабжения и климатических систем,,Младший инженер,нет,"1 г., 8 мес.,18 дн.",Женский,23
SU199595,Департамент бизнес-приложений,группа поддержки продаж,,Менеджер по продвижению решений,нет,"0 г., 1 мес.,23 дн.",Мужской,33
SU165537,Департамент продаж и менеджмента проектов,,группа продаж,Директор по работе с корпоративными клиентами,нет,"3 г., 3 мес.,11 дн.",Мужской,36
SU196565,Департамент инженерных и мультимедийных систем,Группа систем безопасности,,Младший инженер,нет,"1 г., 6 мес.,11 дн.",Мужской,24
SU157666,Департамент продаж и менеджмента проектов,,группа управления проектами по телекоммуникациям,Менеджер проектов,нет,"3 г., 8 мес.,24 дн.",Женский,37
SU197122,Департамент продаж и менеджмента проектов,,группа управления проектами по инженерным и мультимедийным системам,Менеджер проектов,нет,"0 г., 6 мес.,24 дн.",Мужской,35
SU189014,Департамент телекоммуникаций,Цифровое производство,группа инженеров цифрового производства,Инженер,нет,"2 г., 2 мес.,24 дн.",Женский,30
SU2531,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа технических менеджеров,Руководитель комплексных проектов,РМ,"18 г., 11 мес.,24 дн.",Мужской,42
SU66768,Административно-эксплуатационный департамент,Отдел по эксплуатации инженерных систем,,Инженер,нет,"11 г., 3 мес.,24 дн.",Мужской,66
SU198558,Департамент маркетинга,группа маркетологов,,Менеджер по маркетингу,нет,"0 г., 6 мес.,22 дн.",Женский,37
SU94337,Административно-эксплуатационный департамент,Отдел по эксплуатации инженерных систем,,Инженер-диспетчер,нет,"7 г., 0 мес.,23 дн.",Мужской,47
SU167483,Департамент продаж и менеджмента проектов,,группа управления проектами по телекоммуникациям,Менеджер проектов,нет,"3 г., 2 мес.,16 дн.",Мужской,40
SU100262,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа развития бизнеса,Менеджер по продвижению решений,нет,"6 г., 6 мес.,14 дн.",Мужской,28
SU196528,Департамент бизнес-приложений,,группа консультантов по финансам,Младший консультант по внедрению бизнес-приложений,нет,"1 г., 6 мес.,18 дн.",Женский,22
SU199199,Департамент разработки программного обеспечения,Государственные информационные системы,,Руководитель практики,нет,"0 г., 3 мес.,24 дн.",Мужской,38
SU196601,Департамент инфраструктурных решений и сервисов,Информационная безопасность,Центр мониторинга безопасности,Младший аналитик SOC,нет,"1 г., 5 мес.,1 дн.",Мужской,21
SU196362,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа технических менеджеров по информационной безопасности,Технический менеджер,нет,"1 г., 7 мес.,10 дн.",Мужской,36
SU199874,Департамент по работе с персоналом,,отдел обучения,Младший менеджер по корпоративному обучению,нет,"0 г., 0 мес.,18 дн.",Мужской,22
SU174771,Департамент разработки программного обеспечения,Корпоративные информационные системы,"Практика ""Медицинские информационные системы"".группа ИТ-инфраструктуры",Старший системный инженер,нет,"3 г., 0 мес.,18 дн.",Мужской,39
SU2537,Департамент телекоммуникаций,Сервис,группа технической поддержки телефонии и Call-центров,Ведущий инженер,нет,"19 г., 1 мес.,20 дн.",Мужской,59
SU99783,Отдел подготовки тендеров,,,Менеджер по работе с тендерами,нет,"6 г., 7 мес.,3 дн.",Женский,30
SU198700,Департамент инфраструктурных решений и сервисов,,группа инженеров поддержки инфраструктурного ПО,Младший инженер технической поддержки,нет,"0 г., 6 мес.,16 дн.",Мужской,21
SU196631,Департамент маркетинга,группа маркетинговых исследований,,Администратор,нет,"1 г., 5 мес.,23 дн.",Женский,27
SU90217,Департамент маркетинга,группа маркетологов,,Менеджер по отраслевому маркетингу,нет,"7 г., 11 мес.,11 дн.",Женский,30
SU199987,Департамент маркетинга,группа маркетинговых исследований,,Администратор,нет,"0 г., 0 мес.,10 дн.",Женский,35
SU103689,Департамент разработки программного обеспечения,"Практика ""Роботехника""",группа разработки робототехнических решений,Инженер-разработчик,нет,"6 г., 2 мес.,25 дн.",Мужской,26
SU40134,Департамент продаж и менеджмента проектов,,группа продаж,Директор по работе с корпоративными клиентами,нет,"14 г., 3 мес.,10 дн.",Мужской,36
SU197581,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа аналитиков по информационной безопасности,Младший системный аналитик,нет,"1 г., 0 мес.,30 дн.",Женский,23
SU106438,Департамент инфраструктурных решений и сервисов,группа развития бизнеса,,Финансовый аналитик,нет,"5 г., 11 мес.,24 дн.",Женский,31
SU199493,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа развития бизнеса,Менеджер продукта,нет,"0 г., 2 мес.,20 дн.",Мужской,30
SU188391,Департамент инфраструктурных решений и сервисов,группа развития направления “Управление ИТ-процессами”,,Технический менеджер,нет,"2 г., 3 мес.,20 дн.",Мужской,49
SU197053,Департамент телекоммуникаций,Сервис,Первая линия,Инженер технической поддержки,нет,"1 г., 3 мес.,7 дн.",Мужской,21
SU197271,Департамент бизнес-приложений,,Группа консультантов по автоматизации бизнес-процессов,Младший консультант по внедрению бизнес-приложений,нет,"1 г., 2 мес.,9 дн.",Мужской,23
SU153875,Департамент маркетинга,группа контента,,"Руководитель группы, Ресурс-менеджер",РМ,"3 г., 11 мес.,16 дн.",Женский,31
SU34623,Департамент внутренней автоматизации,,группа системных администраторов,Старший инженер,нет,"15 г., 0 мес.,25 дн.",Мужской,39
SU133983,Департамент инфраструктурных решений и сервисов,группа развития бизнеса,,Менеджер по продвижению решений,нет,"4 г., 11 мес.,25 дн.",Мужской,30
SU196338,Административно-эксплуатационный департамент,Отдел по эксплуатации инженерных систем,,Техник,нет,"1 г., 7 мес.,24 дн.",Мужской,57
SU189117,Департамент по работе с персоналом,отдел кадров,,Старший администратор,нет,"2 г., 2 мес.,24 дн.",Женский,26
SU93864,Департамент продаж и менеджмента проектов,,группа администраторов проектов по ИТ-системам и программным решениям,Руководитель группы,РМ,"7 г., 0 мес.,30 дн.",Женский,31
SU113189,Департамент инженерных и мультимедийных систем,Группа электроснабжения и климатических систем,,Инженер,нет,"5 г., 7 мес.,21 дн.",Мужской,29
SU42361,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа аналитиков,Старший системный аналитик,нет,"13 г., 9 мес.,13 дн.",Женский,37
SU2546,Департамент инфраструктурных решений и сервисов,группа инженеров по инфраструктурному ПО,,Системный архитектор,нет,"19 г., 11 мес.,10 дн.",Мужской,48
SU84149,Департамент продаж и менеджмента проектов,,группа управления проектами по построению корпоративных систем,Менеджер проектов,нет,"8 г., 11 мес.,16 дн.",Мужской,33
SU136770,Департамент продаж и менеджмента проектов,,группа управления проектами и поддержки продаж,Менеджер проектов,нет,"4 г., 10 мес.,2 дн.",Мужской,29
SU196749,Департамент инфраструктурных решений и сервисов,группа пресейл-инженеров,,Младший пресейл-инженер,нет,"1 г., 4 мес.,30 дн.",Женский,25
SU198461,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа разработки облака,Младший инженер-разработчик,нет,"0 г., 7 мес.,10 дн.",Мужской,20
SU154902,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа продвижения решений,Менеджер по работе с партнерами,нет,"3 г., 10 мес.,25 дн.",Мужской,28
SU199133,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки и эксплуатации систем в ЦОД,Младший дежурный инженер ЦОД,нет,"0 г., 4 мес.,15 дн.",Мужской,19
SU107039,Департамент разработки программного обеспечения,Корпоративные информационные системы,"Практика ""Медицинские информационные системы"".группа аналитиков",Старший системный аналитик,нет,"5 г., 10 мес.,29 дн.",Женский,32
SU149621,Департамент по работе с персоналом,,отдел обучения,Менеджер по продвижению образовательных решений,нет,"4 г., 1 мес.,1 дн.",Мужской,27
SU61048,Административно-эксплуатационный департамент,Отдел по эксплуатации инженерных систем,,Диспетчер,нет,"11 г., 11 мес.,6 дн.",Мужской,51
SU197195,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа системных инженеров,Ведущий системный инженер,нет,"1 г., 2 мес.,4 дн.",Мужской,34
SU37403,Департамент разработки программного обеспечения,Управление контентом и документооборот,,Руководитель направления «Управление контентом и документооборот»,РМ,"14 г., 8 мес.,24 дн.",Мужской,37
SU199061,Департамент инфраструктурных решений и сервисов,группа технических менеджеров по вычислительной инфраструктуре,,Аналитик,нет,"0 г., 4 мес.,20 дн.",Мужской,24
SU88870,Департамент разработки программного обеспечения,"Практика ""Аппаратные решения""",,Инженер,нет,"8 г., 2 мес.,15 дн.",Мужской,28
SU166559,Департамент внутренней автоматизации,,группа разработки инфраструктурных приложений,Старший инженер-тестировщик,нет,"3 г., 3 мес.,12 дн.",Мужской,24
SU44617,Департамент разработки программного обеспечения,,группа развития бизнеса,Ведущий аналитик,нет,"13 г., 5 мес.,15 дн.",Женский,36
