Код сотрудника,Департамент,Баланс,Кол-во дней работы,Контейнер
SU196537,ДБП.группа консультантов по финансам,1050.0,11,"Ускорение бизнес-процессов, Проектный опыт, Корпоративная жизнь КРОК, Я и КРОК, Другое"
SU196538,ДРПО.ГИС.суды. группа тестировщиков,1500.0,27,"Проектный опыт, Я и КРОК"
SU196539,ДПМП.группа администраторов проектов по ИТ-системам и программным решениям,2255.0,12,"Проектный опыт, Корпоративная жизнь КРОК, Я и КРОК, Ускорение бизнес-процессов, Другое, Поиск и развитие талантов"
SU196540,ДИМС.технические менеджеры по мультимедийным системам,225.0,1,"Корпоративная жизнь КРОК, Я и КРОК"
SU196543,ДРП,475.0,1,"Корпоративная жизнь КРОК, Вклад в ИТ-образование, Я и КРОК, Другое"
SU196558,ДИРС.Облачные сервисы.группа поддержки продаж облачных сервисов,1700.0,1,"Я и КРОК, Поиск и развитие талантов, Корпоративная жизнь КРОК"
SU196565,ДИМС.группа систем безопасности,2735.0,13,"Поиск и развитие талантов, Проектный опыт, Обмен опытом и повышение экспертизы, Я и КРОК, Корпоративная жизнь КРОК, Ускорение бизнес-процессов, Другое"
SU196567,ДВА.группа автоматизации производственных процессов,2070.0,8,"Проектный опыт, Корпоративная жизнь КРОК, Поиск и развитие талантов, Ускорение бизнес-процессов, Я и КРОК, Другое"
SU196574,ДРП.отдел рекрутинга,1495.0,2,"Корпоративная жизнь КРОК, Вклад в ИТ-образование, Я и КРОК, Поиск и развитие талантов"
SU196584,ДБП.группа консультантов по финансам,800.0,10,"Проектный опыт, Ускорение бизнес-процессов, Другое, Я и КРОК"
SU196601,ДИРС.Информационная безопасность.Центр мониторинга безопасности,2525.0,19,"Проектный опыт, Корпоративная жизнь КРОК, Я и КРОК, Обмен опытом и повышение экспертизы, Поиск и развитие талантов"
SU196605,ДИРС.группа разработки частных облаков,200.0,1,Другое
SU196609,"АЭД.служба охраны труда, пожарной безопасности и гражданской обороны",1550.0,1,"Поиск и развитие талантов, Ускорение бизнес-процессов, Корпоративная жизнь КРОК, Я и КРОК"
SU196612,ДБП.группа консультантов по финансам,3305.0,35,"Проектный опыт, Другое, Я и КРОК, Поиск и развитие талантов, Обмен опытом и повышение экспертизы"
SU196614,ДИМС.группа инженеров по мультимедийным системам,4020.0,14,"Проектный опыт, Обмен опытом и повышение экспертизы, Корпоративная жизнь КРОК, Я и КРОК, Поиск и развитие талантов, Другое"
SU196615,ДИРС.группа клиентского сервиса,1990.0,1,"Обмен опытом и повышение экспертизы, Корпоративная жизнь КРОК, Я и КРОК, Ускорение бизнес-процессов, Поиск и развитие талантов"
SU196616,АЭД.АО.секретариат,870.0,1,"Поиск и развитие талантов, Другое, Ускорение бизнес-процессов, Корпоративная жизнь КРОК, Я и КРОК"
SU196617,ДБП.группа консультантов по финансам,2365.0,34,"Корпоративная жизнь КРОК, Проектный опыт, Другое, Я и КРОК"
SU196618,ДПМП.группа администраторов BackOffice,2780.0,23,"Проектный опыт, Корпоративная жизнь КРОК, Другое, Я и КРОК, Ускорение бизнес-процессов"
SU196619,ДБП.группа консультантов по производству,850.0,14,"Проектный опыт, Я и КРОК"
SU196620,ДТК.Группа поддержки продаж сетевых решений,1900.0,4,"Корпоративная жизнь КРОК, Другое, Ускорение бизнес-процессов, Поиск и развитие талантов, Проектный опыт, Я и КРОК"
SU196623,ДИРС.группа инженеров по инфраструктурному ПО,4790.0,20,"Продвижение бренда КРОК, Проектный опыт, Другое, Я и КРОК, Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы, Квест 15-19 июля, Поиск и развитие талантов"
SU196624,ДВА.группа разработки HR-tech решений,800.0,2,"Другое, Поиск и развитие талантов, Я и КРОК"
SU196625,ДБП.группа консультантов по финансам,105.0,1,"Корпоративная жизнь КРОК, Ускорение бизнес-процессов"
SU196626,ДТК.группа сетевых решений,2505.0,31,"Проектный опыт, Корпоративная жизнь КРОК, Я и КРОК, Другое, Поиск и развитие талантов, Ускорение бизнес-процессов"
SU196628,ДМ.группа событийного маркетинга,2125.0,2,"Другое, Поиск и развитие талантов, Я и КРОК, Обмен опытом и повышение экспертизы, Корпоративная жизнь КРОК"
SU196629,ДБП.группа поддержки продаж,605.0,3,"Другое, Я и КРОК, Корпоративная жизнь КРОК, Проектный опыт, Ускорение бизнес-процессов"
SU196631,ДМ.группа маркетинговых исследований,1710.0,1,"Корпоративная жизнь КРОК, Я и КРОК, Обмен опытом и повышение экспертизы, Другое"
SU196632,ДИРС.Информационная безопасность.группа развития бизнеса,100.0,2,"Проектный опыт, Другое"
SU196633,ДРП.Геймификация,2735.0,8,"Корпоративная жизнь КРОК, Другое, Квест 15-19 июля, Обмен опытом и повышение экспертизы, Ускорение бизнес-процессов, Вклад в ИТ-образование, Поиск и развитие талантов, Я и КРОК"
SU196634,ДИРС.группа управления сервисными проектами,3115.0,13,"Корпоративная жизнь КРОК, Поиск и развитие талантов, Квест 15-19 июля, Другое, Я и КРОК, Обмен опытом и повышение экспертизы, Проектный опыт, Ускорение бизнес-процессов"
SU196635,ДБП.группа консультантов по технической архитектуре и разработке,2755.0,29,"Проектный опыт, Корпоративная жизнь КРОК, Другое, Обмен опытом и повышение экспертизы, Квест 15-19 июля, Я и КРОК, Для новых сотрудников, Ускорение бизнес-процессов"
SU196636,ДПМП.группа менеджеров по работе с корпоративными клиентами,615.0,2,"Корпоративная жизнь КРОК, Другое, Ускорение бизнес-процессов, Я и КРОК"
SU196643,ДБП.группа консультантов по финансам,1500.0,6,"Поиск и развитие талантов, Ускорение бизнес-процессов, Проектный опыт, Я и КРОК, Другое"
SU196648,ДПМП.группа менеджеров по работе с корпоративными клиентами,50.0,1,Другое
SU196649,ДПМП.группа менеджеров по работе с корпоративными клиентами,340.0,2,"Корпоративная жизнь КРОК, Другое"
SU196651,ДРП.отдел корпоративной культуры и внутренних коммуникаций,1690.0,1,"Корпоративная жизнь КРОК, Поиск и развитие талантов, Продвижение бренда КРОК, Я и КРОК"
SU196661,ДРП.отдел обучения,2305.0,2,"Поиск и развитие талантов, Корпоративная жизнь КРОК, Другое, Обмен опытом и повышение экспертизы, Ускорение бизнес-процессов, Я и КРОК"
SU196669,ДБП.группа консультантов по финансам,1775.0,15,"Проектный опыт, Для новых сотрудников, Другое, Поиск и развитие талантов"
SU196670,ДИРС.Облачные сервисы.группа эксплуатации облачных сервисов,1150.0,20,"Проектный опыт, Я и КРОК"
SU196672,ДРП.Корпоративная культура,2105.0,3,"Корпоративная жизнь КРОК, Поиск и развитие талантов, Я и КРОК, Другое"
SU196673,ДИРС.группа инженеров систем управления ИТ-процессами,100.0,2,"Другое, Проектный опыт"
SU196676,ДБП.группа консультантов по финансам,875.0,6,"Корпоративная жизнь КРОК, Проектный опыт, Ускорение бизнес-процессов, Для новых сотрудников, Я и КРОК"
SU196681,ДИРС.Информационная безопасность.группа развития бизнеса,600.0,7,"Проектный опыт, Обмен опытом и повышение экспертизы, Я и КРОК"
SU196682,ДИРС.Информационная безопасность.группа развития бизнеса,150.0,3,Проектный опыт
SU196685,ДИРС.Разработка инфраструктурных продуктов.группа инженеров технической поддержки,1450.0,15,"Проектный опыт, Я и КРОК, Другое, Поиск и развитие талантов"
SU196688,ДПМП.группа менеджеров по работе с корпоративными клиентами,360.0,2,"Другое, Ускорение бизнес-процессов, Я и КРОК, Корпоративная жизнь КРОК"
SU196694,ДМ.контакт-центр,2575.0,22,"Корпоративная жизнь КРОК, Проектный опыт, Поиск и развитие талантов, Квест 15-19 июля, Я и КРОК, Другое, Ускорение бизнес-процессов"
SU196696,ДИМС.Группа электроснабжения и климатических систем,350.0,6,"Проектный опыт, Другое"
SU196697,ДИРС.группа инженеров систем управления ИТ-процессами,250.0,2,"Я и КРОК, Проектный опыт"
SU196701,ДИРС.группа поддержки продаж решений по программной инфраструктуре,165.0,4,"Проектный опыт, Другое"
SU196702,ДРПО.группа системных инженеров,3080.0,35,"Проектный опыт, Обмен опытом и повышение экспертизы, Корпоративная жизнь КРОК, Ускорение бизнес-процессов, Другое, Я и КРОК, Поиск и развитие талантов"
SU196706,ДИРС.Информационная безопасность.группа поддержки продаж решений по информационной безопасности,5605.0,4,"Я и КРОК, Обмен опытом и повышение экспертизы, Корпоративная жизнь КРОК, Проектный опыт"
SU196707,ДИРС.Информационная безопасность.группа инженеров по сетевой безопасности,3160.0,9,"Корпоративная жизнь КРОК, Вклад в ИТ-образование, Другое, Я и КРОК, Проектный опыт, Обмен опытом и повышение экспертизы, Croc Voices"
SU196708,ДРПО.ГИС.выборы. группа разработчиков,1250.0,10,"Проектный опыт, Я и КРОК, Поиск и развитие талантов"
SU196709,ДБП.группа консультантов по финансам,2485.0,30,"Корпоративная жизнь КРОК, Проектный опыт, Я и КРОК, Вклад в ИТ-образование, Другое, Ускорение бизнес-процессов"
SU196712,ДРП.отдел кадров,2050.0,3,"Я и КРОК, Другое, Ускорение бизнес-процессов, Поиск и развитие талантов"
SU196714,ДИРС.группа технических менеджеров по сопровождению программной инфраструктуры,1840.0,28,"Обмен опытом и повышение экспертизы, Проектный опыт, Я и КРОК"
SU196715,ДБП.группа консультантов по производству,875.0,12,"Проектный опыт, Я и КРОК"
SU196725,ДВА.группа разработки бизнес-приложений,650.0,10,"Проектный опыт, Другое, Я и КРОК"
SU196727,ДРП.отдел корпоративной культуры и внутренних коммуникаций,240.0,1,"Корпоративная жизнь КРОК, Я и КРОК"
SU196728,ДРП.Образовательные проекты brainz для студентов и школьников,665.0,2,"Корпоративная жизнь КРОК, Другое, Я и КРОК"
SU196732,ДПМП.группа продаж,950.0,3,"Другое, Я и КРОК, Ускорение бизнес-процессов"
SU196740,ДИРС.Разработка инфраструктурных продуктов.группа инженеров технической поддержки,2800.0,20,"Я и КРОК, Проектный опыт, Обмен опытом и повышение экспертизы, Поиск и развитие талантов, Другое"
SU196741,ДИРС.Информационная безопасность.группа поддержки продаж решений по информационной безопасности,4895.0,5,"Обмен опытом и повышение экспертизы, Корпоративная жизнь КРОК, Я и КРОК, Другое, Квест 15-19 июля, Поиск и развитие талантов"
SU196749,ДИРС.группа пресейл-инженеров,250.0,2,"Другое, Я и КРОК"
SU196753,ДБП.группа консультантов по финансам,450.0,6,"Я и КРОК, Другое, Проектный опыт"
SU196754,ДИМС.группа СКС и Автоматизации инженерных систем,1125.0,7,"Проектный опыт, Поиск и развитие талантов, Я и КРОК"
SU196757,ДИРС.Разработка инфраструктурных продуктов.группа разработки СУБД,1000.0,11,"Проектный опыт, Для новых сотрудников, Другое"
SU196758,ДВА.группа разработки бизнес-приложений,3345.0,15,"Корпоративная жизнь КРОК, Проектный опыт, Другое, Поиск и развитие талантов, Я и КРОК, Обмен опытом и повышение экспертизы, Ускорение бизнес-процессов, Продвижение бренда КРОК"
SU196759,ДРПО.ГИС.выборы. группа тестировщиков,1760.0,18,"Проектный опыт, Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы, Я и КРОК"
SU196761,ДБП.группа поддержки продаж,305.0,3,"Проектный опыт, Корпоративная жизнь КРОК, Я и КРОК"
SU196763,ДМ.группа контента,750.0,4,"Обмен опытом и повышение экспертизы, Я и КРОК, Проектный опыт, Корпоративная жизнь КРОК, Ускорение бизнес-процессов, Другое"
SU196764,ДИРС.Разработка инфраструктурных продуктов.группа инженеров технической поддержки,900.0,13,"Проектный опыт, Ускорение бизнес-процессов, Я и КРОК"
SU196765,ДТК.Цифровое производство.группа инженеров цифрового производства,1975.0,15,"Поиск и развитие талантов, Я и КРОК, Проектный опыт, Вклад в ИТ-образование, Обмен опытом и повышение экспертизы, Ускорение бизнес-процессов"
SU196770,ДИРС.Облачные сервисы.группа веб разработки облака,3255.0,36,"Проектный опыт, Поиск и развитие талантов, Я и КРОК, Корпоративная жизнь КРОК, Ускорение бизнес-процессов"
SU196772,ДИРС.группа инженеров систем управления ИТ-процессами,3080.0,31,"Проектный опыт, Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы, Другое, Я и КРОК, Ускорение бизнес-процессов, Для новых сотрудников"
SU196774,ДИМС.Группа электроснабжения и климатических систем,1940.0,25,"Другое, Проектный опыт, Обмен опытом и повышение экспертизы, Я и КРОК, Ускорение бизнес-процессов"
SU196777,ФД.отдел учета товаров и взаиморасчетов с поставщиками,2650.0,3,"Корпоративная жизнь КРОК, Ускорение бизнес-процессов, Другое, Квест 15-19 июля, Я и КРОК"
SU196784,ДИМС.группа систем безопасности,1495.0,20,"Проектный опыт, Обмен опытом и повышение экспертизы, Я и КРОК"
SU196789,ДИРС.группа технических менеджеров по программной инфраструктуре,400.0,5,"Я и КРОК, Проектный опыт"
SU196791,ДБП.группа консультантов по технической архитектуре и разработке,1890.0,27,"Проектный опыт, Корпоративная жизнь КРОК, Квест 15-19 июля, Другое, Обмен опытом и повышение экспертизы, Я и КРОК, Ускорение бизнес-процессов, Для новых сотрудников"
SU196792,ДИРС.Разработка инфраструктурных продуктов.группа продвижения решений,1220.0,19,"Проектный опыт, Ускорение бизнес-процессов, Обмен опытом и повышение экспертизы, Я и КРОК"
SU196793,Отдел дизайна,670.0,2,"Корпоративная жизнь КРОК, Я и КРОК, Другое"
SU196795,ДИРС.группа инженеров по ИТ-инфраструктуре и мониторингу,1805.0,20,"Корпоративная жизнь КРОК, Проектный опыт, Я и КРОК, Ускорение бизнес-процессов, Для новых сотрудников, Другое, Квест 15-19 июля, Обмен опытом и повышение экспертизы"
SU196800,ДВА.группа разработки HR-tech решений,2440.0,30,"Проектный опыт, Другое, Поиск и развитие талантов, Ускорение бизнес-процессов, Я и КРОК, Обмен опытом и повышение экспертизы, Корпоративная жизнь КРОК"
SU196801,ДБП.группа консультантов по производству,3905.0,9,"Проектный опыт, Я и КРОК, Обмен опытом и повышение экспертизы, Другое, Вклад в ИТ-образование, Поиск и развитие талантов"
SU196808,ДИРС.Информационная безопасность.группа инженеров по защите инфраструктуры,795.0,1,"Проектный опыт, Другое, Обмен опытом и повышение экспертизы, Ускорение бизнес-процессов, Я и КРОК"
SU196811,ДИМС.группа систем безопасности,3110.0,33,"Проектный опыт, Обмен опытом и повышение экспертизы, Поиск и развитие талантов, Другое, Я и КРОК"
SU196818,ДВА.центральная служба технической поддержки,4550.0,40,"Проектный опыт, Поиск и развитие талантов, Другое, Я и КРОК, Квест 15-19 июля, Корпоративная жизнь КРОК, Ускорение бизнес-процессов, Обмен опытом и повышение экспертизы"
SU196819,ДИРС.группа развития бизнеса,15.0,1,Другое
SU196825,ДИРС.Информационная безопасность.Центр мониторинга безопасности,450.0,8,"Проектный опыт, Вклад в ИТ-образование"
SU196834,ДБП.группа консультантов по технической архитектуре и разработке,550.0,11,Проектный опыт
SU196835,ДПМП.группа управления проектами по вычислительной инфраструктуре ЦОД,4175.0,30,"Проектный опыт, Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы, Ускорение бизнес-процессов, Другое, Я и КРОК"
SU196837,ДМ.группа контента,3900.0,29,"Проектный опыт, Обмен опытом и повышение экспертизы, Поиск и развитие талантов, Другое, Корпоративная жизнь КРОК, Я и КРОК, Квест 15-19 июля"
SU196843,ДМ.группа маркетологов,270.0,1,"Корпоративная жизнь КРОК, Для новых сотрудников, Ускорение бизнес-процессов"
SU196844,ДИРС.группа инженеров технической поддержки,2200.0,4,"Корпоративная жизнь КРОК, Проектный опыт, Другое, Я и КРОК, Ускорение бизнес-процессов, Поиск и развитие талантов, Обмен опытом и повышение экспертизы"
SU196845,ДИРС.группа инженеров технической поддержки,4155.0,19,"Проектный опыт, Поиск и развитие талантов, Я и КРОК, Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы, Другое"
SU196846,ДИРС.Информационная безопасность.группа инженеров по защите инфраструктуры,2745.0,2,"Проектный опыт, Обмен опытом и повышение экспертизы, Корпоративная жизнь КРОК, Другое, Я и КРОК"
SU196848,ДИРС.Информационная безопасность.Центр мониторинга безопасности,2215.0,29,"Проектный опыт, Корпоративная жизнь КРОК, Я и КРОК, Обмен опытом и повышение экспертизы, Другое"
SU196849,АЭД.отдел по эксплуатации инженерных систем,520.0,1,"Корпоративная жизнь КРОК, Я и КРОК, Ускорение бизнес-процессов"
SU196851,ДВА.центральная служба технической поддержки,1905.0,35,"Проектный опыт, Я и КРОК, Корпоративная жизнь КРОК"
SU196855,ДИРС.Облачные сервисы.группа сопровождения ИТ-инфраструктур,3495.0,4,"Проектный опыт, Поиск и развитие талантов, Квест 15-19 июля, Я и КРОК, Другое, Обмен опытом и повышение экспертизы"
SU196856,ДИМС.группа систем безопасности,2165.0,13,"Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы, Проектный опыт, Поиск и развитие талантов, Другое, Я и КРОК"
SU196857,ДИМС.Группа поддержки производства,2135.0,17,"Ускорение бизнес-процессов, Проектный опыт, Корпоративная жизнь КРОК, Другое, Я и КРОК, Поиск и развитие талантов, Для новых сотрудников"
SU196858,ДТК.Цифровое производство.группа поддержки продаж цифрового производства,605.0,5,"Корпоративная жизнь КРОК, Проектный опыт, Я и КРОК, Ускорение бизнес-процессов"
SU196859,ДИРС.группа инженеров технической поддержки,2140.0,15,"Проектный опыт, Обмен опытом и повышение экспертизы, Корпоративная жизнь КРОК, Я и КРОК, Другое"
SU196863,ДРП.Развитие бренда работодателя,650.0,6,"Другое, Корпоративная жизнь КРОК, Квест 15-19 июля, Я и КРОК, Обмен опытом и повышение экспертизы"
SU196883,ДИРС.группа инженеров технической поддержки,3400.0,37,"Проектный опыт, Обмен опытом и повышение экспертизы, Другое, Я и КРОК, Поиск и развитие талантов"
SU196884,ДПМП.группа управления проектами по вычислительной инфраструктуре ЦОД,2090.0,14,"Корпоративная жизнь КРОК, Другое, Проектный опыт, Я и КРОК, Ускорение бизнес-процессов, Квест 15-19 июля, Обмен опытом и повышение экспертизы"
SU196891,ДРП.отдел рекрутинга,30.0,1,Корпоративная жизнь КРОК
SU196892,ДИРС.Облачные сервисы.группа поддержки и эксплуатации систем в ЦОД,1800.0,23,"Проектный опыт, Обмен опытом и повышение экспертизы, Я и КРОК"
SU196894,АЭД.отдел по эксплуатации инженерных систем,2060.0,2,"Другое, Поиск и развитие талантов, Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы, Ускорение бизнес-процессов, Я и КРОК"
SU196906,ДИРС.Облачные сервисы.группа управления облачными проектами,1045.0,3,"Проектный опыт, Другое, Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы, Ускорение бизнес-процессов, Я и КРОК"
SU196907,ДПМП.группа управления проектами по телекоммуникациям,490.0,1,"Обмен опытом и повышение экспертизы, Для новых сотрудников, Другое, Корпоративная жизнь КРОК"
SU196909,ДБП.группа консультантов по производству,950.0,10,"Проектный опыт, Обмен опытом и повышение экспертизы, Другое, Я и КРОК"
SU196918,ДИРС.Разработка инфраструктурных продуктов.группа разработки,930.0,15,"Проектный опыт, Я и КРОК, Другое"
SU196919,ДРПО.ГИС.росстат. группа разработчиков,2415.0,17,"Проектный опыт, Поиск и развитие талантов, Другое, Я и КРОК, Ускорение бизнес-процессов"
SU196929,ДВА.группа разработки инфраструктурных приложений,300.0,1,"Я и КРОК, Ускорение бизнес-процессов"
SU196930,ДИРС.Разработка инфраструктурных продуктов.группа разработки,950.0,14,"Проектный опыт, Я и КРОК, Ускорение бизнес-процессов"
SU196933,ДИРС.Облачные сервисы.группа управления облачными проектами,2465.0,9,"Поиск и развитие талантов, Проектный опыт, Обмен опытом и повышение экспертизы, Другое, Я и КРОК"
SU196934,ДИМС.Группа электроснабжения и климатических систем,3310.0,22,"Я и КРОК, Корпоративная жизнь КРОК, Проектный опыт, Вклад в ИТ-образование, Поиск и развитие талантов, Ускорение бизнес-процессов, Обмен опытом и повышение экспертизы"
SU196937,ДИРС.Облачные сервисы.группа управления облачными проектами,3030.0,13,"Обмен опытом и повышение экспертизы, Проектный опыт, Другое, Поиск и развитие талантов, Корпоративная жизнь КРОК, Я и КРОК"
SU196941,ДИМС.группа систем безопасности,2730.0,35,"Обмен опытом и повышение экспертизы, Проектный опыт, Корпоративная жизнь КРОК, Другое, Я и КРОК"
SU196945,ДМ.группа маркетологов,1245.0,10,"Корпоративная жизнь КРОК, Проектный опыт, Другое, Я и КРОК"
SU196948,ДИМС.Группа электроснабжения и климатических систем,3110.0,23,"Проектный опыт, Корпоративная жизнь КРОК, Вклад в ИТ-образование, Обмен опытом и повышение экспертизы, Другое, Ускорение бизнес-процессов, Я и КРОК"
SU196950,ДБП.группа технических менеджеров по 1С и автоматизации бизнес-процессов,7665.0,31,"Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы, Другое, Проектный опыт, Croc Voices, Ускорение бизнес-процессов, Я и КРОК, Поиск и развитие талантов, Квест 15-19 июля, Продвижение бренда КРОК"
SU196951,ДТК.Сервис.инженеры технической поддержки (аутсорсинг),2475.0,20,"Проектный опыт, Поиск и развитие талантов, Обмен опытом и повышение экспертизы, Корпоративная жизнь КРОК, Я и КРОК"
SU196957,ДТК.Сервис.группа развития,250.0,2,"Другое, Я и КРОК"
SU196958,ДРПО.Управление контентом и документооборот,375.0,2,"Ускорение бизнес-процессов, Я и КРОК, Другое, Корпоративная жизнь КРОК"
SU196959,ДИМС.Группа электроснабжения и климатических систем,5095.0,18,"Корпоративная жизнь КРОК, Проектный опыт, Вклад в ИТ-образование, Я и КРОК, Другое, Ускорение бизнес-процессов, Обмен опытом и повышение экспертизы, Croc Voices, Поиск и развитие талантов"
SU196960,ДИМС.Группа электроснабжения и климатических систем,1375.0,5,"Проектный опыт, Я и КРОК, Ускорение бизнес-процессов, Корпоративная жизнь КРОК"
SU196962,ДИРС.группа развития и сопровождения частных облаков,450.0,6,"Проектный опыт, Я и КРОК"
SU196964,ДИРС.Облачные сервисы.группа специалистов поддержки ИТ-инфраструктур,2610.0,24,"Проектный опыт, Обмен опытом и повышение экспертизы, Поиск и развитие талантов, Корпоративная жизнь КРОК, Я и КРОК"
SU196968,ДИРС.группа клиентского сервиса,1255.0,1,"Корпоративная жизнь КРОК, Поиск и развитие талантов, Обмен опытом и повышение экспертизы, Я и КРОК"
SU196973,ДИРС.Разработка инфраструктурных продуктов.группа системных инженеров,2375.0,32,"Я и КРОК, Проектный опыт, Поиск и развитие талантов, Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы"
SU196976,ДПМП.группа управления проектами по разработке программных решений,305.0,7,"Другое, Проектный опыт, Корпоративная жизнь КРОК"
SU196985,ДИРС.Информационная безопасность.группа инженеров по защите инфраструктуры,1870.0,10,"Проектный опыт, Вклад в ИТ-образование, Корпоративная жизнь КРОК, Поиск и развитие талантов, Обмен опытом и повышение экспертизы, Я и КРОК, Ускорение бизнес-процессов"
SU196986,ДИРС.Информационная безопасность.Центр мониторинга безопасности,1540.0,15,"Проектный опыт, Корпоративная жизнь КРОК, Поиск и развитие талантов, Я и КРОК"
SU196988,ДМ.группа внешних коммуникаций,1000.0,1,"Я и КРОК, Другое, Обмен опытом и повышение экспертизы, Продвижение бренда КРОК"
SU196990,ДВА.группа консультантов,3380.0,20,"Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы, Проектный опыт, Ускорение бизнес-процессов, Другое, Я и КРОК, Поиск и развитие талантов"
SU196995,ДРПО.ГИС.суды. группа тестировщиков,2050.0,24,"Обмен опытом и повышение экспертизы, Проектный опыт, Поиск и развитие талантов, Я и КРОК"
SU196997,ДРПО.группа системных инженеров,2305.0,18,"Проектный опыт, Другое, Корпоративная жизнь КРОК, Поиск и развитие талантов, Я и КРОК"
SU197001,ДПМП.группа управления проектами по разработке программных решений,450.0,8,"Проектный опыт, Другое, Ускорение бизнес-процессов"
SU197014,ДИРС.Облачные сервисы.группа поддержки и эксплуатации систем в ЦОД,2085.0,38,"Проектный опыт, Другое, Корпоративная жизнь КРОК, Я и КРОК"
SU197016,ФД.отдел учета основных средств и нематериальных активов,200.0,1,Ускорение бизнес-процессов
SU197019,ДИРС.группа инженеров по вычислительной инфраструктуре,3605.0,15,"Проектный опыт, Корпоративная жизнь КРОК, Другое, Я и КРОК, Поиск и развитие талантов, Ускорение бизнес-процессов, Квест 15-19 июля"
SU197020,ДИРС.Информационная безопасность.группа инженеров по защите инфраструктуры,445.0,2,"Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы, Проектный опыт, Я и КРОК"
SU197022,ДРП.Геймификация,450.0,3,"Корпоративная жизнь КРОК, Другое, Я и КРОК, Квест 15-19 июля, Обмен опытом и повышение экспертизы"
SU197023,ДРП.отдел рекрутинга,120.0,1,"Ускорение бизнес-процессов, Обмен опытом и повышение экспертизы"
SU197024,ДИРС.Разработка инфраструктурных продуктов.группа маркетинга,3480.0,34,"Проектный опыт, Ускорение бизнес-процессов, Для новых сотрудников, Корпоративная жизнь КРОК, Поиск и развитие талантов, Я и КРОК, Другое, Квест 15-19 июля"
SU197030,АЭД.АО.секретариат,50.0,1,Другое
SU197044,ДРПО.ГИС.суды. группа разработчиков,1800.0,20,"Проектный опыт, Ускорение бизнес-процессов, Корпоративная жизнь КРОК, Другое, Вклад в ИТ-образование, Для новых сотрудников, Я и КРОК, Квест 15-19 июля"
SU197047,ДРПО.ГИС.суды. группа разработчиков,850.0,17,Проектный опыт
SU197049,ДРПО.ГИС.выборы. группа разработчиков,2660.0,31,"Корпоративная жизнь КРОК, Проектный опыт, Я и КРОК, Поиск и развитие талантов, Для новых сотрудников, Ускорение бизнес-процессов, Другое"
SU197051,ДРП.отдел рекрутинга,5275.0,10,"Корпоративная жизнь КРОК, Другое, Вклад в ИТ-образование, Квест 15-19 июля, Поиск и развитие талантов, Для новых сотрудников, Я и КРОК, Croc Voices, Обмен опытом и повышение экспертизы"
SU197052,ДТК.Сервис.Первая линия,1900.0,31,"Проектный опыт, Корпоративная жизнь КРОК, Другое, Я и КРОК"
SU197053,ДТК.Сервис.Первая линия,3895.0,39,"Корпоративная жизнь КРОК, Проектный опыт, Продвижение бренда КРОК, Другое, Вклад в ИТ-образование, Ускорение бизнес-процессов, Я и КРОК, Croc Voices"
SU197054,ДПМП.группа менеджеров по работе с корпоративными клиентами,565.0,1,"Корпоративная жизнь КРОК, Другое, Ускорение бизнес-процессов, Я и КРОК"
SU197055,ДПМП.группа продаж,320.0,1,"Я и КРОК, Обмен опытом и повышение экспертизы"
SU197056,ДИРС.группа поддержки продаж решений по программной инфраструктуре,105.0,1,"Обмен опытом и повышение экспертизы, Корпоративная жизнь КРОК"
SU197057,ДРП.Корпоративная культура,760.0,1,"Я и КРОК, Корпоративная жизнь КРОК, Поиск и развитие талантов"
SU197058,ДИМС.Группа электроснабжения и климатических систем,540.0,4,"Проектный опыт, Корпоративная жизнь КРОК, Другое, Ускорение бизнес-процессов, Обмен опытом и повышение экспертизы"
SU197067,"ДРПО.Практика ""Time and Material""",50.0,1,Проектный опыт
SU197074,ДИРС.Облачные сервисы.группа поддержки и эксплуатации систем в ЦОД,2150.0,36,"Проектный опыт, Я и КРОК, Ускорение бизнес-процессов"
SU197076,ДИРС.группа инженеров технической поддержки,325.0,1,"Проектный опыт, Я и КРОК"
SU197077,ДБП.группа аналитиков и консультантов по внедрению Big Data и BI,1480.0,16,"Корпоративная жизнь КРОК, Проектный опыт, Обмен опытом и повышение экспертизы, Я и КРОК"
SU197083,ДБП.группа консультантов по производству,1445.0,7,"Другое, Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы, Я и КРОК, Проектный опыт, Поиск и развитие талантов, Ускорение бизнес-процессов"
SU197085,ДРПО.ГИС.росстат. группа внедренцев,150.0,3,Проектный опыт
SU197086,ДТК.Сервис.Первая линия,65.0,2,"Другое, Проектный опыт"
